year,event,count
2043,LeaveParentsEvent,1591
2043,MigrationEvent,2016
2043,MarriageEvent,3941
2043,DeathEvent,15023
2043,DemolitionEvent,427
2043,RenovationEvent,476825
2043,LicenseEvent,4903
2043,BirthEvent,3009
2043,ConstructionEvent,411
2043,BirthDayEvent,689037
2043,MoveEvent,37805
2044,EmploymentEvent,16850
2044,DivorceEvent,1086
2044,LeaveParentsEvent,1527
2044,MigrationEvent,1927
2044,MarriageEvent,3648
2044,DeathEvent,15056
2044,DemolitionEvent,438
2044,RenovationEvent,476793
2044,BirthEvent,3020
2044,LicenseEvent,4895
2044,ConstructionEvent,365
2044,BirthDayEvent,681026
2044,MoveEvent,37823
2045,EmploymentEvent,16978
2045,DivorceEvent,1149
2045,LeaveParentsEvent,1536
2045,MigrationEvent,1941
2045,MarriageEvent,3705
2045,DeathEvent,14857
2045,DemolitionEvent,466
2045,RenovationEvent,476712
2045,BirthEvent,3063
2045,LicenseEvent,4889
2045,ConstructionEvent,327
2045,BirthDayEvent,672990
2045,MoveEvent,37841
2046,EmploymentEvent,16543
2046,DivorceEvent,1165
2046,LeaveParentsEvent,1571
2046,MigrationEvent,1885
2046,MarriageEvent,3665
2046,DeathEvent,14776
2046,DemolitionEvent,416
2046,RenovationEvent,476581
2046,BirthEvent,2965
2046,LicenseEvent,4917
2046,ConstructionEvent,306
2046,BirthDayEvent,665122
2046,MoveEvent,37785
2047,EmploymentEvent,16365
2047,DivorceEvent,1071
2047,LeaveParentsEvent,1542
2047,MigrationEvent,1944
2047,MarriageEvent,3608
2047,DeathEvent,14850
2047,DemolitionEvent,420
2047,RenovationEvent,476483
2047,BirthEvent,3120
2047,LicenseEvent,4958
2047,ConstructionEvent,268
2047,BirthDayEvent,657208
2047,MoveEvent,37882
2048,EmploymentEvent,16172
2048,DivorceEvent,1087
2048,LeaveParentsEvent,1551
2048,MigrationEvent,1903
2048,MarriageEvent,3560
2048,DeathEvent,14645
2048,DemolitionEvent,470
2048,RenovationEvent,476295
2048,LicenseEvent,4930
2048,BirthEvent,3023
2048,ConstructionEvent,236
2048,BirthDayEvent,649364
2048,MoveEvent,37897
2049,EmploymentEvent,15787
2049,DivorceEvent,1019
2049,LeaveParentsEvent,1553
2049,MigrationEvent,1854
2049,MarriageEvent,3515
2049,DeathEvent,14474
2049,DemolitionEvent,406
2049,RenovationEvent,476111
2049,BirthEvent,2999
2049,LicenseEvent,4672
2049,ConstructionEvent,204
2049,BirthDayEvent,641666
2049,MoveEvent,38246
