year,size,count
2026,8,48
2026,9,11
2026,10,1
2027,1,135277
2027,2,120690
2027,3,67304
2027,4,37467
2027,5,12726
2027,6,3516
2027,7,550
2027,8,52
2027,9,10
2027,10,1
2028,1,136047
2028,2,120292
2028,3,65963
2028,4,36782
2028,5,12453
2028,6,3564
2028,7,584
2028,8,60
2028,9,10
2028,10,0
2029,1,136399
2029,2,120015
2029,3,64817
2029,4,35936
2029,5,12313
2029,6,3512
2029,7,629
2029,8,64
2029,9,10
2029,10,0
2030,1,136907
2030,2,119743
2030,3,63481
2030,4,35236
2030,5,12121
2030,6,3462
2030,7,652
2030,8,67
2030,9,9
2030,10,0
2031,1,137626
2031,2,119249
2031,3,62011
2031,4,34663
2031,5,11924
2031,6,3477
2031,7,638
2031,8,75
2031,9,10
2031,10,0
2032,1,138334
2032,2,118306
2032,3,60719
2032,4,34079
2032,5,11778
2032,6,3450
2032,7,620
2032,8,79
2032,9,9
2032,10,0
2033,1,138871
2033,2,117664
2033,3,59338
2033,4,33594
2033,5,11607
2033,6,3440
2033,7,623
2033,8,73
2033,9,8
2033,10,0
2034,1,139426
2034,2,116970
2034,3,58094
2034,4,32978
2034,5,11501
2034,6,3339
2034,7,604
2034,8,81
2034,9,6
2034,10,0
2035,1,139709
2035,2,116151
2035,3,57010
2035,4,32370
2035,5,11330
2035,6,3286
2035,7,602
2035,8,81
2035,9,5
2035,10,0
2036,1,139806
2036,2,115434
2036,3,56128
2036,4,31645
2036,5,11176
2036,6,3176
2036,7,591
2036,8,82
2036,9,6
2036,10,0
2037,1,139911
2037,2,114660
2037,3,55102
2037,4,31097
2037,5,11059
2037,6,3035
2037,7,587
2037,8,76
2037,9,5
2037,10,0
2038,1,139770
2038,2,114063
2038,3,54159
2038,4,30431
2038,5,10914
2038,6,2924
2038,7,559
2038,8,67
2038,9,5
2038,10,0
2039,1,139566
2039,2,113362
2039,3,53325
2039,4,29998
2039,5,10617
2039,6,2791
2039,7,529
2039,8,60
2039,9,5
2039,10,0
2040,1,139389
2040,2,112789
2040,3,52326
2040,4,29566
2040,5,10328
2040,6,2660
2040,7,515
2040,8,56
2040,9,6
2040,10,0
2041,1,139432
2041,2,112016
2041,3,51287
2041,4,29109
2041,5,10154
2041,6,2575
2041,7,473
2041,8,45
2041,9,6
2041,10,0
2042,1,139440
2042,2,111190
2042,3,50608
2042,4,28551
2042,5,9929
2042,6,2481
2042,7,444
2042,8,40
2042,9,6
2042,10,0
2043,1,139618
2043,2,110309
2043,3,49667
2043,4,28274
2043,5,9673
2043,6,2377
2043,7,427
2043,8,37
2043,9,4
2043,10,0
2044,1,139034
2044,2,109663
2044,3,48738
2044,4,27826
2044,5,9464
2044,6,2283
2044,7,403
2044,8,37
2044,9,4
2044,10,0
2045,1,138772
2045,2,108831
2045,3,47866
2045,4,27493
2045,5,9195
2045,6,2192
2045,7,364
2045,8,32
2045,9,3
2045,10,0
2046,1,139016
2046,2,107851
2046,3,47039
2046,4,26952
2046,5,9019
2046,6,2147
2046,7,342
2046,8,29
2046,9,3
2046,10,0
2047,1,138944
2047,2,106773
2047,3,46380
2047,4,26446
2047,5,8811
2047,6,2066
2047,7,328
2047,8,25
2047,9,4
2047,10,0
2048,1,138898
2048,2,105589
2048,3,45604
2048,4,26045
2048,5,8592
2048,6,1987
2048,7,300
2048,8,23
2048,9,4
2048,10,0
2049,1,138730
2049,2,104732
2049,3,44778
2049,4,25721
2049,5,8324
2049,6,1940
2049,7,296
2049,8,22
2049,9,3
2049,10,0
