year,type,count
2021,SIZE_4_INC_HIGH,4976
2021,SIZE_1_INC_VERY_HIGH,85
2021,SIZE_2_INC_VERY_HIGH,68761
2021,SIZE_3_INC_VERY_HIGH,63759
2021,SIZE_4_INC_VERY_HIGH,58032
2022,SIZE_1_INC_LOW,11948
2022,SIZE_2_INC_LOW,252
2022,SIZE_3_INC_LOW,103
2022,SIZE_4_INC_LOW,12
2022,SIZE_1_INC_MEDIUM,96066
2022,SIZE_2_INC_MEDIUM,6839
2022,SIZE_3_INC_MEDIUM,1833
2022,SIZE_4_INC_MEDIUM,444
2022,SIZE_1_INC_HIGH,21376
2022,SIZE_2_INC_HIGH,44300
2022,SIZE_3_INC_HIGH,6528
2022,SIZE_4_INC_HIGH,5062
2022,SIZE_1_INC_VERY_HIGH,111
2022,SIZE_2_INC_VERY_HIGH,68828
2022,SIZE_3_INC_VERY_HIGH,63141
2022,SIZE_4_INC_VERY_HIGH,55984
2023,SIZE_1_INC_LOW,12550
2023,SIZE_2_INC_LOW,268
2023,SIZE_3_INC_LOW,85
2023,SIZE_4_INC_LOW,14
2023,SIZE_1_INC_MEDIUM,96684
2023,SIZE_2_INC_MEDIUM,7019
2023,SIZE_3_INC_MEDIUM,1807
2023,SIZE_4_INC_MEDIUM,462
2023,SIZE_1_INC_HIGH,21989
2023,SIZE_2_INC_HIGH,44570
2023,SIZE_3_INC_HIGH,6726
2023,SIZE_4_INC_HIGH,4910
2023,SIZE_1_INC_VERY_HIGH,143
2023,SIZE_2_INC_VERY_HIGH,68653
2023,SIZE_3_INC_VERY_HIGH,62365
2023,SIZE_4_INC_VERY_HIGH,54365
2024,SIZE_1_INC_LOW,13307
2024,SIZE_2_INC_LOW,253
2024,SIZE_3_INC_LOW,73
2024,SIZE_4_INC_LOW,13
2024,SIZE_1_INC_MEDIUM,96540
2024,SIZE_2_INC_MEDIUM,7025
2024,SIZE_3_INC_MEDIUM,1655
2024,SIZE_4_INC_MEDIUM,434
2024,SIZE_1_INC_HIGH,22528
2024,SIZE_2_INC_HIGH,45087
2024,SIZE_3_INC_HIGH,6802
2024,SIZE_4_INC_HIGH,4611
2024,SIZE_1_INC_VERY_HIGH,183
2024,SIZE_2_INC_VERY_HIGH,68618
2024,SIZE_3_INC_VERY_HIGH,61473
2024,SIZE_4_INC_VERY_HIGH,53152
2025,SIZE_1_INC_LOW,13977
2025,SIZE_2_INC_LOW,270
2025,SIZE_3_INC_LOW,73
2025,SIZE_4_INC_LOW,11
2025,SIZE_1_INC_MEDIUM,96372
2025,SIZE_2_INC_MEDIUM,6942
2025,SIZE_3_INC_MEDIUM,1395
2025,SIZE_4_INC_MEDIUM,353
2025,SIZE_1_INC_HIGH,23038
2025,SIZE_2_INC_HIGH,45410
2025,SIZE_3_INC_HIGH,6916
2025,SIZE_4_INC_HIGH,4261
2025,SIZE_1_INC_VERY_HIGH,238
2025,SIZE_2_INC_VERY_HIGH,68453
2025,SIZE_3_INC_VERY_HIGH,60852
2025,SIZE_4_INC_VERY_HIGH,52172
2026,SIZE_1_INC_LOW,14484
2026,SIZE_2_INC_LOW,261
2026,SIZE_3_INC_LOW,69
2026,SIZE_4_INC_LOW,9
2026,SIZE_1_INC_MEDIUM,96241
2026,SIZE_2_INC_MEDIUM,7006
2026,SIZE_3_INC_MEDIUM,1289
2026,SIZE_4_INC_MEDIUM,311
2026,SIZE_1_INC_HIGH,23466
2026,SIZE_2_INC_HIGH,45449
2026,SIZE_3_INC_HIGH,6740
2026,SIZE_4_INC_HIGH,3969
2026,SIZE_1_INC_VERY_HIGH,301
2026,SIZE_2_INC_VERY_HIGH,68294
2026,SIZE_3_INC_VERY_HIGH,60198
2026,SIZE_4_INC_VERY_HIGH,51203
2027,SIZE_1_INC_LOW,14880
2027,SIZE_2_INC_LOW,274
2027,SIZE_3_INC_LOW,70
2027,SIZE_4_INC_LOW,7
2027,SIZE_1_INC_MEDIUM,96088
2027,SIZE_2_INC_MEDIUM,7218
2027,SIZE_3_INC_MEDIUM,1206
2027,SIZE_4_INC_MEDIUM,319
2027,SIZE_1_INC_HIGH,23964
2027,SIZE_2_INC_HIGH,45384
2027,SIZE_3_INC_HIGH,6714
2027,SIZE_4_INC_HIGH,3801
2027,SIZE_1_INC_VERY_HIGH,345
2027,SIZE_2_INC_VERY_HIGH,67814
2027,SIZE_3_INC_VERY_HIGH,59314
