year,type,count,price,vacancy
2019,MF5plus,20191,609.9091722305177,0.052867606756689424
2019,MH,0,NaN,0.0
2020,SFD,58536,696.5364631206638,0.037722931571560606
2020,SFA,13181,735.3877482283458,0.049101705237515225
2020,MF234,21115,712.3478682372654,0.04521276595744681
2020,MF5plus,20311,634.8848733372384,0.052003367837155166
2020,MH,0,NaN,0.0
2021,SFD,58654,703.3030181068859,0.03708828754954216
2021,SFA,13239,746.0326889100419,0.045368333206888704
2021,MF234,21196,734.00048700695,0.04162917357328913
2021,MF5plus,20459,660.2159757243254,0.04790507606715573
2021,MH,0,NaN,0.0
2022,SFD,58794,710.9716680273854,0.036075970948272924
2022,SFA,13297,755.4810127858933,0.04728453810710779
2022,MF234,21293,754.2813791129797,0.03882808076995659
2022,MF5plus,20613,686.4898242493005,0.04711862749890024
2022,MH,0,NaN,0.0
2023,SFD,58937,723.580084452859,0.03486750348675035
2023,SFA,13350,768.9068926431352,0.04256599232909679
2023,MF234,21386,782.1031440020332,0.03766496031559668
2023,MF5plus,20774,718.9119023766831,0.047833891233687476
2023,MH,0,NaN,0.0
2024,SFD,59147,734.5689082196304,0.033866671191272034
2024,SFA,13403,784.4428426403999,0.04322097378277154
2024,MF234,21501,815.5517591366954,0.03815580286168521
2024,MF5plus,20936,752.0754301558522,0.04625974776162511
2024,MH,0,NaN,0.0
2025,SFD,59325,751.0760056809992,0.033611172164268684
2025,SFA,13464,806.6652072650729,0.04028948742818772
2025,MF234,21642,839.8628268569162,0.0341379470722292
2025,MF5plus,21116,786.3706202129321,0.04456438670233091
2025,MH,0,NaN,0.0
2026,SFD,59560,767.3003552968617,0.02988621997471555
2026,SFA,13542,826.6115435303359,0.03750742721330957
2026,MF234,21769,882.6355020680421,0.03594861842713243
2026,MF5plus,21307,822.9136357540793,0.04333207046789165
2026,MH,0,NaN,0.0
2027,SFD,59841,780.9606917035654,0.029902619207521828
2027,SFA,13609,847.2673945671331,0.041426672574213556
2027,MF234,21957,917.8030806948229,0.031558638430796086
2027,MF5plus,21501,870.1430048340635,0.04219270662223682
2027,MH,0,NaN,0.0
2028,SFD,60089,798.6857865471289,0.031216055881419093
2028,SFA,13668,869.3662888823303,0.03865089279153501
2028,MF234,22121,959.3929627523829,0.03411212825067177
2028,MF5plus,21725,902.8801770112511,0.0405562531975257
2028,MH,0,NaN,0.0
2029,SFD,60390,824.4729131891785,0.029423022516600377
2029,SFA,13748,892.7599407854613,0.03511852502194908
2029,MF234,22286,1008.9249101835072,0.0336331992224583
2029,MF5plus,21904,946.2008133341185,0.04391254315304948
2029,MH,0,NaN,0.0
2030,SFD,60752,841.8899690448811,0.02780261632720649
2030,SFA,13827,912.3845171887109,0.036223450683735815
2030,MF234,22473,1057.6131824623478,0.032172664453019834
2030,MF5plus,22092,996.3175888737774,0.042914536157779404
2030,MH,0,NaN,0.0
2031,SFD,61016,860.496940060835,0.03023768764814327
2031,SFA,13881,932.881311510042,0.0363057785492153
2031,MF234,22635,1109.4346742931807,0.035998754060428066
2031,MF5plus,22295,1043.6103908714288,0.04268513489045808
2031,MH,0,NaN,0.0
2032,SFD,61278,881.9290981818668,0.030041300642454437
2032,SFA,13942,956.7379171160138,0.039334341906202726
2032,MF234,22799,1150.8423174363377,0.03472498343273691
2032,MF5plus,22494,1093.218713193826,0.04198250728862974
2032,MH,0,NaN,0.0
2033,SFD,61536,900.8283211025835,0.030614576193740004
2033,SFA,14016,988.038164807655,0.03643666618849519
2033,MF234,22947,1208.9668491052612,0.035089258300802666
2033,MF5plus,22685,1150.606595289063,0.04236685338312439
2033,MH,0,NaN,0.0
2034,SFD,61845,923.652384623389,0.0297224388975559
2034,SFA,14097,1007.7088669789733,0.0338898401826484
2034,MF234,23118,1261.9102103043303,0.03351200592670066
2034,MF5plus,22912,1213.013838278546,0.04231871280581882
2034,MH,0,NaN,0.0
2035,SFD,62123,939.4722893113948,0.029848815587355484
2035,SFA,14152,1035.814739584143,0.03717102929701355
2035,MF234,23279,1306.1738143927896,0.03395622458690198
2035,MF5plus,23122,1264.815144065138,0.04198673184357542
2035,MH,0,NaN,0.0
2036,SFD,62388,947.2900260710574,0.030697165301096212
2036,SFA,14226,1069.1895360768624,0.03836913510457886
2036,MF234,23402,1365.2163105674063,0.0362558529146441
2036,MF5plus,23316,1319.1161641875208,0.04311910734365539
2036,MH,0,NaN,0.0
2037,SFD,62598,972.0102970145031,0.031223953324357248
2037,SFA,14305,1092.2308506252298,0.0370448474623928
2037,MF234,23558,1422.893264985001,0.034142380993077516
2037,MF5plus,23510,1397.7190350323392,0.04323211528564076
2037,MH,0,NaN,0.0
2038,SFD,62918,988.2386866595601,0.028850762005175883
2038,SFA,14382,1120.5836126734225,0.03788885005242922
2038,MF234,23730,1467.5884646338752,0.03353425587910688
2038,MF5plus,23730,1475.3933126201864,0.04070608251807741
2038,MH,0,NaN,0.0
2039,SFD,63208,1004.7417736280145,0.02875170857306335
2039,SFA,14459,1164.7437789848623,0.03573911834237241
2039,MF234,23910,1534.9444972204888,0.03341761483354404
2039,MF5plus,23980,1551.506733537416,0.03935946059839865
2039,MH,0,NaN,0.0
2040,SFD,63453,1028.7416992835617,0.02974307049740539
2040,SFA,14564,1199.2984697510394,0.032090739331904004
2040,MF234,24083,1586.2565044174635,0.033249686323713924
2040,MF5plus,24226,1624.1588395758783,0.03965804837364471
2040,MH,0,NaN,0.0
2041,SFD,63785,1043.2974844458013,0.02926575575622902
2041,SFA,14655,1220.395290915483,0.03515517714913485
2041,MF234,24264,1631.9367645701066,0.03355063737906407
2041,MF5plus,24448,1684.5157746856414,0.04230991496739041
2041,MH,0,NaN,0.0
2042,SFD,64053,1055.5779832129513,0.028705808575683937
2042,SFA,14721,1246.9861325538163,0.035551006482429204
2042,MF234,24428,1688.4708382648887,0.0361028684470821
2042,MF5plus,24664,1786.9605907266694,0.04118946335078534
2042,MH,0,NaN,0.0
2043,SFD,64339,1066.7613827771193,0.02927263360029975
2043,SFA,14791,1269.5242347441954,0.03831261463215814
2043,MF234,24611,1741.6682521850666,0.03266743081709514
2043,MF5plus,24940,1870.2590924171977,0.03709860525462212
2043,MH,0,NaN,0.0
2044,SFD,64614,1083.205621224845,0.029624333607920546
2044,SFA,14854,1299.8754519047823,0.039145426272733416
2044,MF234,24780,1772.0128808990155,0.03404981512331884
2044,MF5plus,25172,1976.491834792821,0.04097834803528468
2044,MH,0,NaN,0.0
2045,SFD,64883,1103.1480430147228,0.029653016374160398
2045,SFA,14932,1331.6289520340497,0.03554598088057089
2045,MF234,24903,1828.3704973156623,0.035916061339790153
2045,MF5plus,25426,2075.51378339154,0.04020340060384554
2045,MH,0,NaN,0.0
2046,SFD,65164,1112.678787966701,0.029977035587133764
2046,SFA,15005,1373.772114421439,0.03649879453522636
2046,MF234,25086,1872.771720528596,0.03348994097096735
2046,MF5plus,25664,2197.8490289226675,0.041178321403287976
2046,MH,0,NaN,0.0
2047,SFD,65375,1124.8473508152993,0.031136824013258856
2047,SFA,15097,1409.0834581766824,0.03432189270243252
2047,MF234,25222,1936.6310324191786,0.03615562465119987
2047,MF5plus,25939,2295.906666430494,0.03896508728179551
2047,MH,0,NaN,0.0
2048,SFD,65584,1146.7988718018732,0.03117399617590822
2048,SFA,15166,1449.9825009946535,0.036298602371332055
2048,MF234,25405,1978.6893791190407,0.03362144159860439
2048,MF5plus,26176,2433.4244592742048,0.04125062646979452
2048,MH,0,NaN,0.0
2049,SFD,65903,1161.1672316521476,0.028269090021956576
2049,SFA,15261,1488.5258582478884,0.034419095344850326
2049,MF234,25543,2060.422104987491,0.0368825034442039
2049,MF5plus,26465,2575.8794538974366,0.03850855745721271
2049,MH,0,NaN,0.0
