year,group,male,female
2038,18-29,0.476630,0.494276
2038,30-49,0.751951,0.620412
2038,50-64,0.508071,0.417991
2038,>=65,0.021838,0.022037
2039,<18,0.013028,0.012965
2039,18-29,0.475637,0.494805
2039,30-49,0.750861,0.621139
2039,50-64,0.511504,0.416040
2039,>=65,0.021084,0.021645
2040,<18,0.011146,0.013234
2040,18-29,0.476155,0.493861
2040,30-49,0.751506,0.616853
2040,50-64,0.505055,0.417164
2040,>=65,0.020450,0.022047
2041,<18,0.010574,0.011665
2041,18-29,0.470287,0.493778
2041,30-49,0.750594,0.616779
2041,50-64,0.505427,0.416983
2041,>=65,0.020312,0.022181
2042,<18,0.010276,0.010232
2042,18-29,0.472357,0.493904
2042,30-49,0.748394,0.615582
2042,50-64,0.503109,0.412192
2042,>=65,0.020052,0.021361
2043,<18,0.012309,0.011165
2043,18-29,0.476869,0.495214
2043,30-49,0.748494,0.619085
2043,50-64,0.500396,0.407625
2043,>=65,0.019267,0.021164
2044,<18,0.010607,0.012675
2044,18-29,0.476406,0.496322
2044,30-49,0.749817,0.616320
2044,50-64,0.497654,0.403018
2044,>=65,0.019775,0.021130
2045,<18,0.011278,0.010001
2045,18-29,0.474804,0.497219
2045,30-49,0.749859,0.617566
2045,50-64,0.496411,0.400973
2045,>=65,0.020500,0.020972
2046,<18,0.010358,0.010661
2046,18-29,0.473983,0.496613
2046,30-49,0.750008,0.619246
2046,50-64,0.498320,0.398628
2046,>=65,0.020295,0.020465
2047,<18,0.012748,0.010437
2047,18-29,0.476401,0.495766
2047,30-49,0.749826,0.620474
2047,50-64,0.493907,0.394258
2047,>=65,0.018507,0.020766
2048,<18,0.010630,0.010899
2048,18-29,0.476632,0.493068
2048,30-49,0.748527,0.620582
2048,50-64,0.487184,0.402088
2048,>=65,0.019425,0.020274
2049,<18,0.011546,0.010021
2049,18-29,0.476575,0.495579
2049,30-49,0.747638,0.621395
2049,50-64,0.485655,0.403235
2049,>=65,0.019996,0.020801
