person,household,autos,avs,homeZone,jobZone,timeCar
4310880,2129362,2,2,62,5,9.541812739990235
1781457,2129362,2,2,62,522,70.7900957866211
126357,2129367,1,1,1783,2044,49.3924062854004
324336,2129367,1,1,1783,3512,16.320962399047854
2123994,2129368,2,2,465,490,10.516387691711426
168037,2129370,1,1,3459,4348,25.635375978515626
3123988,2129370,1,1,3459,2603,13.773995770629885
2708802,2129372,3,3,1495,1083,26.63396162365723
88201,2129372,3,3,1495,1149,39.427892220458986
3093428,2129373,1,1,1164,1164,2.784599809127808
1086348,2129375,1,1,1647,1656,4.872280162567139
36302,2129375,1,1,1647,1567,10.943495843078614
3537454,2129440,3,3,2371,4736,67.05893799438478
4771193,2129440,3,3,2371,2258,13.480706823913575
5606668,2129440,3,3,2371,2375,11.66088486505127
3365948,2129444,2,2,3268,3293,2.6927047115783695
4416870,2129444,2,2,3268,2428,34.6979636394043
4867608,2129444,2,2,3268,1074,39.563030828125
2910926,2129446,1,1,4598,4600,10.088971306640627
3809390,2129448,2,2,1886,4571,44.60410251342774
3750734,2129448,2,2,1886,448,51.23771093164063
4919714,2129448,2,2,1886,3505,11.227403498657228
1691544,2129449,2,2,1410,1048,37.89658311181641
1579241,2129449,2,2,1410,4835,60.47929794067383
103700,2129450,2,2,180,139,7.613318563781739
1325438,2129451,2,2,4700,4692,14.086527452453614
4064540,2129462,2,2,2384,2402,10.07112630456543
2610943,2129464,2,2,3771,3337,9.334423338378906
1261250,2129464,2,2,3771,2072,47.88777007348633
2223198,2129469,2,2,783,2202,70.70287887304688
5114947,2129469,2,2,783,900,10.494954767944337
3263141,2129471,2,2,1089,291,13.691022919799806
546122,2129408,2,2,3800,1986,12.148587896911621
3396807,2129409,1,1,2109,2370,41.46178299511719
3991746,2129409,1,1,2109,2024,30.62096559716797
4157854,2129410,2,2,2091,2320,19.89093532702637
890685,2129410,2,2,2091,2184,18.307077966918946
2479836,2129411,2,2,53,62,3.7814677888946537
2990176,2129411,2,2,53,974,83.59064476123048
2256470,2129412,2,2,222,141,6.444564008331299
19067,2129412,2,2,222,364,16.81633973803711
4322312,2129413,2,2,425,466,5.282345940216065
4851148,2129413,2,2,425,4067,63.853669625976565
1564804,2129417,1,1,2793,2271,67.21590321044923
1888763,2129417,1,1,2793,4502,26.692548407348635
1377973,2129418,2,2,4096,1891,15.55657536682129
5298970,2129419,1,1,3892,573,58.69859826489258
2367819,2129421,2,2,3687,4049,4.8927726174926764
323125,2129423,2,2,4002,3507,8.123386850067138
3358833,2129432,1,1,310,205,3.4536091098632813
1388522,2129434,2,2,3027,2631,12.249244003417969
1199243,2129437,2,2,933,4870,91.1576906303711
2825953,2129437,2,2,933,865,13.4387463493042
1651357,2129439,2,2,1992,1051,52.11332658813477
2065051,2129439,2,2,1992,4421,23.945406877075197
1286450,2129504,0,0,1805,4003,17.492704176513673
1433996,2129505,2,2,4554,4553,1.3061567225875856
4623991,2129506,1,1,2641,1987,22.596566017333988
1094551,2129508,2,2,2873,4573,33.08092487023926
4778758,2129508,2,2,2873,2702,9.319427717834474
4299797,2129510,1,1,1047,1006,4.231328267044067
4943688,2129510,1,1,1047,2598,42.669265640380864
2071313,2129513,1,1,2086,2233,20.64514352612305
1468372,2129513,1,1,2086,1439,34.36393596289063
2355227,2129515,1,1,1653,1201,16.253487701599123
4103084,2129515,1,1,1653,2696,24.046104691772463
2531370,2129518,0,0,3341,2199,36.66234211889649
1998498,2129518,0,0,3341,1782,10.792511174682618
2393671,2129519,2,2,1600,1581,2.4781008102111817
723463,2129520,3,3,4836,3747,43.8920317944336
3023562,2129520,3,3,4836,4839,3.7517095033111576
4944532,2129520,3,3,4836,2776,50.4603923256836
1775568,2129522,2,1,1064,1067,4.307465806610108
335964,2129523,2,2,1216,3796,33.172345155639654
77046,2129524,2,2,2741,1657,28.485679158569337
2696911,2129524,2,2,2741,1416,6.5597544020996095
3886805,2129525,2,2,528,81,74.15662633203125
4311648,2129526,3,3,3770,4690,40.142310805419925
2150716,2129526,3,3,3770,4356,13.255478523864747
911118,2129530,2,2,2802,2005,28.222433333862305
4622936,2129530,2,2,2802,1922,11.060603287719728
1031,2129531,2,2,2747,401,49.054964640869144
4478568,2129531,2,2,2747,2650,10.63264978253174
3401502,2129532,2,2,2734,1547,11.015737481567383
2471746,2129532,2,2,2734,1922,18.31444098852539
575865,2129533,2,2,1161,2409,67.6646426538086
79479,2129533,2,2,1161,1170,8.944635879699709
2903319,2129472,3,3,959,456,19.482675208862307
3170964,2129475,0,0,2166,2025,26.625888545532227
129213,2129477,2,2,2957,2773,10.128232956115724
709228,2129479,2,2,1268,1077,13.82445861254883
3298265,2129479,2,2,1268,1334,15.38726249169922
4704601,2129481,2,2,4109,4730,38.86481943579102
3476877,2129482,3,3,1643,1558,26.941705001708986
1878091,2129483,2,2,2124,2024,23.515275390502932
1572131,2129484,2,2,2136,2168,5.158179129943848
106955,2129485,1,1,3117,4810,47.2631888972168
472120,2129486,3,3,3631,4460,21.8911950579834
4755520,2129486,3,3,3631,1881,11.671036231811524
2423108,2129487,2,2,2650,1455,12.980968435791016
3324267,2129488,1,1,1532,1559,1.9151176727218628
1731150,2129489,2,2,3030,2557,16.579216465393067
1731149,2129489,2,2,3030,2818,9.772459035766602
1452934,2129491,1,1,3780,3804,4.829046570861816
2002352,2129493,2,2,1429,1419,8.323557174194336
3601080,2129495,1,1,1968,2001,12.6211539072876
1888847,2129496,1,1,4503,4536,8.142751149291993
3557885,2129498,0,0,2929,3834,17.711495173339845
4384224,2129500,2,2,3198,4519,9.6503913682251
1550770,2129500,2,2,3198,1360,38.266479832519536
3666239,2129502,2,2,4327,4669,26.939481243041993
817325,2129502,2,2,4327,1953,11.533690141845703
5168103,2129502,2,2,4327,2996,28.50511721008301
3830065,2129569,1,1,1096,448,40.70782504516602
1148173,2129569,1,1,1096,1091,6.1028513433227545
5030390,2129570,1,1,4887,4804,11.357944032592775
4590879,2129573,0,0,4698,3283,49.519736305908204
3286041,2129576,2,2,4062,3582,5.4739330238342285
660147,2129579,2,2,802,456,15.725323655456544
1844408,2129579,2,2,802,787,2.394820234313965
4193020,2129580,0,0,475,465,6.763749163879395
341287,2129584,1,1,2416,2397,5.019418013305664
840753,2129586,1,1,2343,2281,22.65636742492676
3990221,2129586,1,1,2343,2343,2.2461155289154053
989493,2129589,1,1,2776,4905,66.0731964375
4419134,2129589,1,1,2776,1208,32.82007980969239
66439,2129592,2,2,3912,4638,26.24157910168457
2336890,2129592,2,2,3912,2317,31.329966186401368
62682,2129594,1,1,371,406,11.887267769897463
3464933,2129596,1,1,3029,3428,15.078542531616213
4109464,2129596,1,1,3029,1255,30.30653263220215
4357913,2129598,0,0,2676,2672,3.041885685943604
