year,zone,autoAccessibility,transitAccessibility,population,households,hhInc_<20000,hhInc_>20000,hhInc_>40000,hhInc_>60000,dd_SF,dd_MF,availLand,avePrice,jobs,shWhite,shBlack,shHispanic,shOther
7,7,33.3468873374933,17.666155213683314,17.0,8,8,0,0,0,4,5,28.299999944865704,118.111115,100,0,0,0,0
7,8,21.389368256332723,1.3701432977714201E-9,890.0,454,454,0,0,0,265,265,29.099999971687794,712.06415,383,0,0,0,0
7,9,29.747781033050046,19.00966064462155,14.0,6,6,0,0,0,3,4,28.69999995827675,82.28571,101,0,0,0,0
7,10,27.347698099743845,1.0813877566506926E-10,7.0,6,6,0,0,0,1,5,29.19999998062849,132.0,99,0,0,0,0
7,11,21.67809943196335,6.320786464975737E-12,3.0,1,1,0,0,0,2,0,29.399999976158142,79.0,98,0,0,0,0
7,12,26.33440516611589,1.3847058509779345E-9,928.0,456,456,0,0,0,262,264,30.100000008940697,649.9981,382,0,0,0,0
7,13,64.18087966506609,100.0,5909.0,2882,2882,0,0,0,1618,1633,9.699999317526817,640.24884,1930,0,0,0,0
7,14,67.87077481656844,1.4882664023623873E-9,949.0,463,462,1,0,0,260,264,30.700000032782555,704.147,387,0,0,0,0
7,15,26.924816118948236,6.331508475506668E-12,2.0,2,2,0,0,0,1,2,29.49999998509884,106.0,99,0,0,0,0
7,16,18.577237597415095,1.1032133833075408E-10,7.0,2,2,0,0,0,1,2,29.49999998509884,109.666664,97,0,0,0,0
7,17,41.858902057241075,17.84027668612743,6.0,3,3,0,0,0,3,3,28.799999959766865,124.166664,98,0,0,0,0
7,18,100.0,1.7896260654278498E-9,18.0,7,7,0,0,0,2,5,28.89999996870756,130.0,381,0,0,0,0
7,19,36.56699108945118,19.62810626142899,11.0,4,4,0,0,0,1,4,29.299999982118607,118.8,0,0,0,0,0
7,20,14.0922686596635,2.9972814321048965E-15,4.0,3,3,0,0,0,2,1,29.299999974668026,137.66667,0,0,0,0,0
7,21,10.869182307392188,1.5591851355687212,773.0,414,414,0,0,0,264,261,29.799999989569187,718.13715,194,0,0,0,0
7,22,17.749567399034927,1.0609334577354453E-10,4.0,2,2,0,0,0,2,2,29.19999997317791,144.5,95,0,0,0,0
7,23,29.159094392442857,1.0456270848009246E-11,784.0,409,409,0,0,0,266,262,29.099999964237213,714.875,96,0,0,0,0
7,24,13.653430598501863,2.913754592504409E-15,2.0,1,1,0,0,0,0,1,29.899999998509884,123.0,0,0,0,0,0
7,25,6.462595446763273,19.720753978463385,3.0,2,2,0,0,0,1,1,29.599999986588955,140.5,195,0,0,0,0
8,1,8.67500121554676,1.1306551186992158,452.0,240,240,0,0,0,130,134,29.799999997019768,647.38257,192,0,0,0,0
8,2,22.902860077947786,3.282951121546904E-11,4.0,4,4,0,0,0,3,1,28.999999962747097,100.75,94,0,0,0,0
8,3,30.59501098804971,6.1970680250646744E-12,4.0,4,4,0,0,0,1,5,29.19999998062849,121.5,96,0,0,0,0
8,4,27.459651754035562,1.0870928802383308E-10,4.0,4,4,0,0,0,0,4,29.599999994039536,124.25,96,0,0,0,0
8,5,27.58428552882741,2.439767548455544,448.0,241,241,0,0,0,134,133,28.699999950826168,701.7903,484,0,0,0,0
8,6,22.81432799173217,3.282922648823816E-11,13.0,6,6,0,0,0,3,3,28.799999959766865,78.333336,94,0,0,0,0
8,7,46.38573915259134,17.666155213683314,16.0,7,7,0,0,0,4,5,28.299999944865704,118.111115,100,0,0,0,0
8,8,30.57439679819713,1.3701432977714201E-9,889.0,450,450,0,0,0,265,265,29.099999971687794,712.06415,383,0,0,0,0
8,9,41.046282894624255,19.00966064462155,16.0,6,6,0,0,0,3,4,28.69999995827675,82.28571,101,0,0,0,0
