Zone,ID_county,Area,msa,centroidX,centroidY,distanceToTransit,BBSR_Type,Region2,Region_v0,Region
5571,431301,0.102705211,1,419745.4599,3793223.037,160.0561583,10,37341,9,9
5572,431302,0.102705226,1,420320.7774,3793218.124,533.9382293,10,37341,9,9
5573,431303,0.102700191,1,419749.4201,3793685.069,527.7785605,10,37341,9,9
5574,431304,0.102700206,1,420324.7093,3793680.156,654.9289789,10,37341,9,9
5575,431311,0.102705211,1,420896.0946,3793213.246,89.00960459,10,37341,9,9
5576,431312,0.102705226,1,421471.4115,3793208.403,309.2354899,10,37341,9,9
5577,431313,0.102700191,1,420899.9981,3793675.278,304.8159949,10,37341,9,9
5578,431314,0.102700206,1,421475.2865,3793670.435,647.2066606,10,37341,9,9
5579,431321,0.102705226,1,422046.7281,3793203.596,770.6309488,10,37341,9,9
5580,431322,0.102705211,1,422622.0442,3793198.824,1324.446895,10,37341,9,9
5581,431323,0.102700206,1,422050.5747,3793665.627,1029.356952,10,37341,9,9
5582,431324,0.102700191,1,422625.8625,3793660.855,1489.901165,10,37206,6,6
5583,431331,0.102705226,1,423197.3601,3793194.087,1207.112338,10,37341,9,9
5584,431332,0.102705211,1,423772.6756,3793189.386,637.9084606,10,37206,6,6
5585,431333,0.102700206,1,423201.1499,3793656.118,1236.123539,10,37206,6,6
5586,431334,0.102700191,1,423776.437,3793651.417,660.8200438,10,37206,6,6
5587,431341,0.102705226,1,424347.9907,3793184.72,136.9134882,10,37206,6,6
5588,431342,0.102705211,1,424923.3056,3793180.09,416.0618662,10,37206,6,6
5589,431343,0.102700206,1,424351.7238,3793646.751,85.5562956,10,37206,6,6
5590,431344,0.102700191,1,424927.0102,3793642.12,489.8055834,10,37206,6,6
5591,431351,0.102705226,1,425498.6201,3793175.495,191.0657832,10,37206,6,6
5592,431352,0.102705211,1,426073.9343,3793170.935,311.1832102,10,37206,6,6
5593,431353,0.102700206,1,425502.2964,3793637.525,576.5766668,10,37206,6,6
5594,431354,0.102700191,1,426077.5821,3793632.965,343.792879,10,37206,6,6
5595,431361,0.102705226,1,426649.2481,3793166.411,100.1291716,10,37206,6,6
5596,431362,0.102705211,1,427224.5616,3793161.922,176.8236485,10,37206,6,6
5597,431363,0.102700206,1,426652.8676,3793628.44,367.6483943,10,37206,6,6
5598,431364,0.102700191,1,427228.1527,3793623.951,327.5071755,10,37206,6,6
5599,431371,0.102705226,1,427799.8748,3793157.468,370.3652381,10,37206,6,6
5600,431372,0.102705211,1,428375.1877,3793153.05,671.8303136,10,37206,6,6
5601,431373,0.102700206,1,427803.4376,3793619.497,64.34531669,10,37206,6,6
5602,431374,0.102700191,1,428378.7221,3793615.078,241.6006573,10,37206,6,6
5603,431381,0.102705226,1,428950.5003,3793148.667,934.1773175,10,37206,6,6
5604,431382,0.102705211,1,429525.8126,3793144.319,913.3538905,10,37206,6,6
5605,431383,0.102700206,1,428954.0062,3793610.695,481.0351634,10,37206,6,6
5606,431384,0.102700191,1,429529.2901,3793606.347,489.6533262,10,37206,6,6
5607,431391,0.102705226,1,430101.1246,3793140.007,733.272866,10,37206,6,6
5608,431392,0.102705211,1,430676.4362,3793135.73,416.7579614,10,37206,6,6
5609,431393,0.102700206,1,430104.5737,3793602.035,272.2719406,10,37206,6,6
5610,431394,0.102700191,1,430679.8569,3793597.757,391.033803,10,37206,6,6
5611,431401,0.102695215,1,419753.3807,3794147.102,230.673149,10,37341,9,9
5612,431402,0.10269523,1,420328.6415,3794142.188,653.5884277,10,37341,9,9
5613,431403,0.102690217,1,419757.3418,3794609.135,501.8062691,10,37341,9,9
5614,431404,0.102690232,1,420332.5742,3794604.221,212.0481717,10,37341,9,9
5615,431411,0.102695215,1,420903.9019,3794137.31,522.6353482,10,37341,9,9
5616,431412,0.10269523,1,421479.162,3794132.467,441.8928997,10,37341,9,9
