year,type,count
2026,SIZE_3_INC_LOW,18546
2026,SIZE_4_INC_LOW,7210
2026,SIZE_1_INC_MEDIUM,643657
2026,SIZE_2_INC_MEDIUM,285827
2026,SIZE_3_INC_MEDIUM,68596
2026,SIZE_4_INC_MEDIUM,35281
2026,SIZE_1_INC_HIGH,542468
2026,SIZE_2_INC_HIGH,416683
2026,SIZE_3_INC_HIGH,155152
2026,SIZE_4_INC_HIGH,91655
2026,SIZE_1_INC_VERY_HIGH,238575
2026,SIZE_2_INC_VERY_HIGH,1141950
2026,SIZE_3_INC_VERY_HIGH,1121056
2026,SIZE_4_INC_VERY_HIGH,1386188
2027,SIZE_1_INC_LOW,477805
2027,SIZE_2_INC_LOW,103050
2027,SIZE_3_INC_LOW,17499
2027,SIZE_4_INC_LOW,6713
2027,SIZE_1_INC_MEDIUM,667828
2027,SIZE_2_INC_MEDIUM,289503
2027,SIZE_3_INC_MEDIUM,64884
2027,SIZE_4_INC_MEDIUM,32626
2027,SIZE_1_INC_HIGH,574106
2027,SIZE_2_INC_HIGH,429021
2027,SIZE_3_INC_HIGH,151173
2027,SIZE_4_INC_HIGH,87919
2027,SIZE_1_INC_VERY_HIGH,240564
2027,SIZE_2_INC_VERY_HIGH,1180913
2027,SIZE_3_INC_VERY_HIGH,1141598
2027,SIZE_4_INC_VERY_HIGH,1384285
2028,SIZE_1_INC_LOW,496381
2028,SIZE_2_INC_LOW,104227
2028,SIZE_3_INC_LOW,16650
2028,SIZE_4_INC_LOW,6119
2028,SIZE_1_INC_MEDIUM,693835
2028,SIZE_2_INC_MEDIUM,293090
2028,SIZE_3_INC_MEDIUM,61171
2028,SIZE_4_INC_MEDIUM,30364
2028,SIZE_1_INC_HIGH,605604
2028,SIZE_2_INC_HIGH,441856
2028,SIZE_3_INC_HIGH,147193
2028,SIZE_4_INC_HIGH,83677
2028,SIZE_1_INC_VERY_HIGH,242756
2028,SIZE_2_INC_VERY_HIGH,1221301
2028,SIZE_3_INC_VERY_HIGH,1162742
2028,SIZE_4_INC_VERY_HIGH,1381185
2029,SIZE_1_INC_LOW,515412
2029,SIZE_2_INC_LOW,105759
2029,SIZE_3_INC_LOW,16006
2029,SIZE_4_INC_LOW,5832
2029,SIZE_1_INC_MEDIUM,720823
2029,SIZE_2_INC_MEDIUM,296830
2029,SIZE_3_INC_MEDIUM,58112
2029,SIZE_4_INC_MEDIUM,28162
2029,SIZE_1_INC_HIGH,637984
2029,SIZE_2_INC_HIGH,455149
2029,SIZE_3_INC_HIGH,143106
2029,SIZE_4_INC_HIGH,79576
2029,SIZE_1_INC_VERY_HIGH,245267
2029,SIZE_2_INC_VERY_HIGH,1260849
2029,SIZE_3_INC_VERY_HIGH,1182184
2029,SIZE_4_INC_VERY_HIGH,1377714
2030,SIZE_1_INC_LOW,535897
2030,SIZE_2_INC_LOW,107598
2030,SIZE_3_INC_LOW,15733
2030,SIZE_4_INC_LOW,5523
2030,SIZE_1_INC_MEDIUM,747430
2030,SIZE_2_INC_MEDIUM,300896
2030,SIZE_3_INC_MEDIUM,55890
2030,SIZE_4_INC_MEDIUM,26234
2030,SIZE_1_INC_HIGH,669480
2030,SIZE_2_INC_HIGH,468241
2030,SIZE_3_INC_HIGH,139887
2030,SIZE_4_INC_HIGH,76092
2030,SIZE_1_INC_VERY_HIGH,247732
2030,SIZE_2_INC_VERY_HIGH,1300574
2030,SIZE_3_INC_VERY_HIGH,1198628
2030,SIZE_4_INC_VERY_HIGH,1373611
2031,SIZE_1_INC_LOW,557837
2031,SIZE_2_INC_LOW,109792
2031,SIZE_3_INC_LOW,15152
2031,SIZE_4_INC_LOW,5074
2031,SIZE_1_INC_MEDIUM,771804
2031,SIZE_2_INC_MEDIUM,306474
2031,SIZE_3_INC_MEDIUM,54179
2031,SIZE_4_INC_MEDIUM,24095
2031,SIZE_1_INC_HIGH,701102
2031,SIZE_2_INC_HIGH,480019
2031,SIZE_3_INC_HIGH,137063
2031,SIZE_4_INC_HIGH,72607
2031,SIZE_1_INC_VERY_HIGH,250554
2031,SIZE_2_INC_VERY_HIGH,1341369
2031,SIZE_3_INC_VERY_HIGH,1214941
