year,region,vacants
2015,392,98
2015,824,12
2015,170,63
2015,220,102
2015,485,124
2015,187,11
2015,222,187
2015,785,46
2015,687,22
2015,708,234
2015,174,193
2015,478,174
2015,783,45
2015,302,42
2015,611,53
2015,616,87
2015,781,43
2015,248,233
2015,772,47
2015,260,154
2015,446,104
2015,184,29
2015,807,105
2015,438,85
2015,791,22
2015,778,208
2015,258,115
2015,685,10
2015,650,37
2015,443,208
2015,440,74
2015,505,131
2015,816,70
2015,830,20
2015,439,222
2015,161,18
2015,418,71
2015,407,81
2015,707,90
2015,412,60
2015,391,76
2015,491,81
2015,427,58
2015,441,23
2015,803,38
2015,370,100
2015,408,25
2015,436,78
2015,612,16
2015,186,42
2015,262,60
2015,684,25
2015,718,39
2015,200,45
2015,801,103
2015,812,59
2015,432,50
2015,257,65
2015,253,188
2015,173,183
2015,268,56
2015,423,148
2015,677,82
2015,638,54
2015,395,53
2015,795,84
2015,482,102
2015,678,40
2015,717,3
2015,722,18
2015,434,40
2015,366,359
2015,705,31
2015,252,14
2015,182,34
2015,712,82
2015,714,52
2015,851,60
2015,430,51
2015,613,63
2015,394,64
2015,838,32
2015,266,22
2015,162,58
2015,493,35
2015,646,25
2015,683,35
2015,805,109
2015,375,75
2015,158,153
2015,421,35
2015,419,19
2015,869,81
2015,487,53
2015,221,25
2015,799,19
2015,409,51
2015,776,64
2015,374,120
2015,181,91
2015,682,42
2015,847,123
2015,792,39
2015,279,32
2015,809,9
2015,793,64
2015,640,53
2015,787,22
2015,379,46
2015,729,38
2015,849,32
2015,823,71
2015,330,39
2015,870,18
2015,396,46
2015,417,16
2015,264,15
2015,180,38
2015,435,46
2015,347,42
2015,226,26
2015,185,34
2015,410,76
2015,855,17
2015,856,17
2015,806,23
2015,794,66
2015,159,74
2015,251,22
2015,425,37
2015,198,26
2015,193,27
2015,238,54
2015,846,20
2015,829,26
2015,767,7
2015,197,34
2015,647,20
2015,810,26
2015,426,33
2015,826,23
2015,189,10
2015,489,33
2015,479,29
2015,300,61
2015,715,36
2015,378,42
2015,789,26
2015,255,17
2015,643,27
2015,195,19
2015,802,60
2015,716,14
2015,411,26
2015,263,11
2015,642,47
2015,481,70
2015,163,19
2015,179,84
2015,445,24
2015,727,20
2015,721,22
2015,183,53
2015,373,37
2015,201,48
2015,719,13
2015,371,30
2015,842,8
2015,680,35
2015,814,26
2015,415,21
2015,853,26
2015,437,21
2015,608,28
2015,720,27
2015,188,12
2015,679,14
2015,256,42
2015,194,17
2015,269,71
2015,442,26
2015,843,45
2015,681,13
2015,837,17
2015,267,28
2015,797,21
2015,813,13
2015,852,30
2015,413,25
2015,368,37
2015,390,25
2015,265,16
2015,377,86
2015,191,9
2015,171,11
2015,447,25
2015,818,17
2015,848,24
2015,780,10
2015,492,31
2015,773,12
2015,644,14
2015,811,11
2015,713,38
2015,609,9
2015,819,21
2015,808,23
2015,249,17
2015,782,15
2015,827,9
2015,225,17
2015,294,9
2015,751,3
2015,199,9
2015,784,18
2015,854,28
2015,825,18
2015,254,15
2015,372,1
2015,724,7
2015,750,2
2015,723,10
2015,686,15
2015,726,9
2015,192,3
2015,768,2
2015,725,3
2015,190,6
2015,196,3
2015,365,3
2015,261,4
2015,610,2
2015,747,2
2015,250,2
2015,786,5
2015,243,1
2016,1,12591
2016,2,12317
2016,3,13183
2016,4,16493
2016,5,14096
2016,6,15052
2016,7,16560
2016,8,17703
2016,9,17755
2016,10,18421
2016,11,18669
2016,12,21194
2016,13,10193
2016,14,4696
2016,15,6006
2016,16,5714
2016,17,5854
2016,18,6395
2016,19,7196
2016,20,8246
2016,21,6351
2016,22,7541
2016,23,7311
2016,24,8416
2016,25,3598
2016,26,6931
2016,27,5542
2016,28,6950
2016,29,9018
2016,30,7811
2016,31,8319
2016,32,7395
2016,33,11424
2016,34,7310
2016,35,12499
2016,36,11986
2016,37,8999
2016,38,2416
2016,39,6563
2016,40,6335
2016,41,9315
2016,42,12161
2016,43,9391
2016,44,7107
2016,45,7964
2016,46,2884
2016,47,4793
2016,48,4441
2016,49,6860
2016,50,6821
2016,51,7248
2016,52,6021
2016,53,6020
2016,54,6516
2016,55,5543
2016,56,8666
2016,57,7178
2016,58,6278
2016,59,9195
2016,60,6287
2016,61,5007
2016,62,7121
2016,63,7155
2016,64,6303
2016,65,7428
2016,66,5778
2016,67,5207
2016,68,10034
2016,69,9376
2016,70,6750
2016,71,6586
2016,72,11325
2016,73,21169
2016,74,4049
2016,75,7356
2016,76,29058
2016,77,24351
2016,78,11398
2016,79,20502
2016,80,17539
2016,81,20173
2016,82,24743
2016,83,6716
2016,84,6974
2016,85,8346
2016,86,12392
2016,87,11361
2016,88,11447
2016,89,28246
2016,90,1010
2016,91,983
2016,92,1759
2016,93,2019
2016,94,3333
2016,95,4043
2016,96,4757
2016,97,4493
2016,98,3948
2016,99,13958
2016,100,14465
2016,101,14219
2016,102,2191
2016,103,11066
2016,104,12676
2016,105,19963
2016,106,3340
2016,107,12687
2016,108,20101
2016,109,3609
2016,110,3063
2016,111,3165
2016,112,4085
2016,113,5723
2016,114,5246
2016,115,6770
2016,116,5448
2016,117,16214
2016,118,18977
2016,119,26102
2016,120,18474
2016,121,12185
2016,122,18137
2016,123,8640
2016,124,10017
2016,125,16896
2016,126,20214
2016,127,12063
2016,128,19206
2016,129,14986
2016,130,19136
2016,131,9517
2016,132,12468
2016,133,10099
2016,134,10011
2016,135,9511
2016,136,10092
2016,137,7266
2016,138,10257
2016,139,4638
2016,140,2543
2016,141,2575
2016,142,3001
2016,143,6756
2016,144,6006
2016,145,5489
2016,146,4290
2016,147,1981
2016,148,2173
2016,149,576
2016,150,960
2016,151,1805
2016,152,487
2016,153,442
2016,154,457
2016,155,1062
2016,156,1745
2016,157,1407
2016,166,1024
2016,167,1268
2016,168,1197
2016,169,2395
2016,172,108
2016,175,2704
2016,176,2934
2016,177,185
2016,202,4066
2016,203,3853
2016,204,3484
2016,205,3452
2016,206,1562
2016,207,3134
2016,208,1959
2016,209,1007
2016,210,2407
2016,211,1457
2016,212,2094
2016,213,2005
2016,214,4017
2016,215,4834
2016,216,1642
2016,217,755
2016,218,643
2016,219,864
2016,223,610
2016,224,958
2016,227,979
2016,228,3323
2016,229,2470
2016,230,3554
2016,231,2225
2016,232,2902
2016,233,5355
2016,234,4508
2016,235,4382
2016,236,2955
2016,237,1094
2016,239,331
2016,241,646
2016,242,1707
2016,244,3501
2016,245,3283
2016,246,5279
2016,247,6518
2016,271,1517
2016,272,1553
2016,273,3837
2016,274,3805
2016,275,1567
2016,276,1380
2016,277,2583
2016,278,1408
2016,280,2125
2016,281,4239
2016,282,1669
2016,283,1691
2016,284,1079
2016,285,2465
2016,286,1409
2016,287,3442
2016,288,4146
2016,289,1014
2016,290,1170
2016,291,2313
2016,292,4328
2016,293,4416
2016,295,200
2016,296,424
2016,297,2148
2016,299,397
2016,301,1675
2016,303,192
2016,304,1063
2016,305,206
2016,306,2114
2016,307,2485
2016,308,2520
2016,309,2684
2016,310,2274
2016,311,2119
2016,312,2857
2016,313,3880
2016,314,4926
2016,315,3212
2016,316,3544
2016,317,2704
2016,318,2362
2016,319,4622
2016,320,1578
2016,321,1472
2016,322,952
2016,323,997
2016,324,739
2016,325,423
2016,326,1272
2016,327,1637
2016,329,959
2016,332,2845
2016,333,3837
2016,334,6690
2016,335,4652
2016,336,5960
2016,337,1601
2016,338,2505
2016,339,886
2016,340,816
2016,341,3479
2016,342,8696
2016,343,7602
2016,344,2443
2016,345,5905
2016,346,2100
2016,348,867
2016,349,1064
2016,350,1053
2016,351,1059
2016,352,2998
2016,353,2791
2016,354,1111
2016,355,727
2016,356,2494
2016,357,3075
2016,358,1886
2016,359,1545
2016,360,4752
2016,361,5055
2016,362,2291
2016,363,652
2016,364,38
2016,380,929
2016,381,2542
2016,382,2235
2016,383,1086
2016,384,470
2016,385,1204
2016,386,1171
2016,387,398
2016,388,277
2016,389,243
2016,397,6373
2016,398,3835
2016,399,2963
2016,400,1301
2016,401,2485
2016,402,645
2016,403,815
2016,404,754
2016,405,365
2016,406,431
2016,448,10289
2016,449,15883
2016,450,12756
2016,451,30117
2016,452,3695
2016,453,7321
2016,454,15871
2016,455,5826
2016,456,22227
2016,457,6163
2016,458,18017
2016,459,9370
2016,460,13403
2016,462,1415
2016,463,3177
2016,464,12627
2016,465,13384
2016,466,4859
2016,467,7601
2016,468,3568
2016,469,3306
2016,470,7540
2016,471,28771
2016,472,20659
2016,473,23837
2016,474,22268
2016,475,1527
2016,476,19325
2016,477,19092
2016,488,540
2016,494,2030
2016,495,5595
2016,496,1401
2016,497,653
2016,498,224
2016,499,170
2016,500,6049
2016,501,1324
2016,502,1082
2016,503,2817
2016,504,3627
2016,521,2973
2016,522,3624
2016,523,3319
2016,524,2286
2016,525,1976
2016,526,1663
2016,527,1487
2016,528,1637
2016,529,1099
2016,530,927
2016,531,1107
2016,532,1314
2016,533,1257
2016,534,1141
2016,535,1323
2016,536,2429
2016,537,2212
2016,538,2845
2016,539,3012
2016,540,2927
2016,541,2976
2016,542,3492
2016,543,3072
2016,544,3453
