year,event,count
2035,DeathEvent,209400
2035,MoveEvent,337421
2035,LeaveParentsEvent,57092
2035,DemolitionEvent,5901
2035,EducationEvent,21564
2035,BirthDayEvent,18103009
2035,ConstructionEvent,185076
2035,RenovationEvent,8541501
2035,MarriageEvent,118773
2035,EmploymentEvent,396055
2035,MigrationEvent,119611
2035,DivorceEvent,36420
2035,LicenseEvent,158599
2036,BirthEvent,107898
2036,DeathEvent,218576
2036,MoveEvent,349929
2036,LeaveParentsEvent,56130
2036,DemolitionEvent,5864
2036,EducationEvent,2297
2036,BirthDayEvent,18273692
2036,ConstructionEvent,179637
2036,RenovationEvent,8720707
2036,MarriageEvent,119445
2036,EmploymentEvent,391562
2036,MigrationEvent,124651
2036,DivorceEvent,36319
2036,LicenseEvent,158165
2037,BirthEvent,110415
2037,DeathEvent,229163
2037,MoveEvent,361615
2037,LeaveParentsEvent,54656
2037,DemolitionEvent,5866
2037,EducationEvent,193
2037,BirthDayEvent,18445060
2037,ConstructionEvent,187742
2037,RenovationEvent,8894447
2037,MarriageEvent,120982
2037,EmploymentEvent,390025
2037,DivorceEvent,36508
2037,MigrationEvent,130730
2037,LicenseEvent,157322
2038,BirthEvent,110972
2038,DeathEvent,239992
2038,MoveEvent,380012
2038,LeaveParentsEvent,53731
2038,DemolitionEvent,6065
2038,EducationEvent,11
2038,BirthDayEvent,18618304
2038,ConstructionEvent,179914
2038,RenovationEvent,9076259
2038,MarriageEvent,121486
2038,EmploymentEvent,387340
2038,MigrationEvent,135609
2038,DivorceEvent,36729
2038,LicenseEvent,155827
2039,BirthEvent,112414
2039,DeathEvent,250669
2039,MoveEvent,393786
2039,LeaveParentsEvent,53326
2039,DemolitionEvent,5934
2039,BirthDayEvent,18791852
2039,ConstructionEvent,187393
2039,RenovationEvent,9250121
2039,MarriageEvent,122486
2039,EmploymentEvent,390527
2039,MigrationEvent,142065
2039,DivorceEvent,37095
2039,LicenseEvent,155048
2040,BirthEvent,113871
2040,DeathEvent,262099
2040,MoveEvent,410259
2040,LeaveParentsEvent,53849
2040,DemolitionEvent,5983
2040,BirthDayEvent,18967407
2040,ConstructionEvent,190347
