year,event,count
2041,EmploymentEvent,5567
2041,DeathEvent,4458
2041,BirthEvent,1372
2041,DivorceEvent,460
2041,ConstructionEvent,791
2041,MigrationEvent,2091
2042,DemolitionEvent,118
2042,EducationEvent,5083
2042,RenovationEvent,126864
2042,MarriageEvent,1502
2042,MoveEvent,14666
2042,BirthDayEvent,249798
2042,LicenseEvent,1824
2042,LeaveParentsEvent,655
2042,EmploymentEvent,5302
2042,DeathEvent,4336
2042,BirthEvent,1359
2042,DivorceEvent,444
2042,ConstructionEvent,868
2042,MigrationEvent,2128
2043,DemolitionEvent,105
2043,EducationEvent,5102
2043,RenovationEvent,127620
2043,MarriageEvent,1515
2043,MoveEvent,14797
2043,BirthDayEvent,251060
2043,LicenseEvent,1787
2043,LeaveParentsEvent,680
2043,EmploymentEvent,5525
2043,DeathEvent,4616
2043,BirthEvent,1334
2043,DivorceEvent,464
2043,ConstructionEvent,899
2043,MigrationEvent,2073
2044,DemolitionEvent,116
2044,EducationEvent,4842
2044,RenovationEvent,128420
2044,MarriageEvent,1468
2044,MoveEvent,15000
2044,BirthDayEvent,252000
2044,LeaveParentsEvent,682
2044,LicenseEvent,1700
2044,EmploymentEvent,5598
2044,DeathEvent,4740
2044,BirthEvent,1371
2044,DivorceEvent,437
2044,ConstructionEvent,868
2044,MigrationEvent,2217
2045,DemolitionEvent,115
2045,EducationEvent,4869
2045,RenovationEvent,129162
2045,MarriageEvent,1504
2045,MoveEvent,15201
2045,BirthDayEvent,253128
2045,LicenseEvent,1739
2045,LeaveParentsEvent,639
2045,EmploymentEvent,5690
2045,DeathEvent,4836
2045,BirthEvent,1390
2045,DivorceEvent,429
2045,ConstructionEvent,883
2045,MigrationEvent,2254
2046,DemolitionEvent,96
2046,EducationEvent,4947
2046,RenovationEvent,129939
2046,MarriageEvent,1514
2046,MoveEvent,15080
2046,BirthDayEvent,254266
2046,LicenseEvent,1650
2046,LeaveParentsEvent,570
2046,EmploymentEvent,5628
2046,DeathEvent,5025
2046,BirthEvent,1345
2046,DivorceEvent,495
2046,ConstructionEvent,858
2046,MigrationEvent,2333
2047,DemolitionEvent,116
2047,EducationEvent,5014
2047,RenovationEvent,130698
2047,MarriageEvent,1509
2047,MoveEvent,15387
2047,BirthDayEvent,255232
2047,LicenseEvent,1754
2047,LeaveParentsEvent,611
2047,EmploymentEvent,5482
2047,DeathEvent,5243
2047,BirthEvent,1391
2047,DivorceEvent,453
2047,ConstructionEvent,764
2047,MigrationEvent,2428
2048,DemolitionEvent,128
2048,EducationEvent,5142
2048,RenovationEvent,131338
2048,MarriageEvent,1465
2048,MoveEvent,15926
2048,BirthDayEvent,256351
2048,LicenseEvent,1730
2048,LeaveParentsEvent,608
2048,EmploymentEvent,5594
2048,DeathEvent,5244
2048,BirthEvent,1319
2048,DivorceEvent,434
2048,ConstructionEvent,857
2048,MigrationEvent,2565
2049,DemolitionEvent,99
2049,EducationEvent,5064
2049,RenovationEvent,132091
2049,MarriageEvent,1517
2049,MoveEvent,15564
2049,BirthDayEvent,257474
2049,LicenseEvent,1744
2049,LeaveParentsEvent,540
2049,EmploymentEvent,5504
2049,DeathEvent,5413
2049,BirthEvent,1396
2049,DivorceEvent,444
2049,ConstructionEvent,876
2049,MigrationEvent,2571
