Zone,Area,Region,SUB_SECT
442,26.319,442,33
443,9.101,443,33
444,17.475,444,33
445,25.136,445,33
446,10.38,446,33
447,32.22,447,33
448,342.705,448,33
449,102.232,449,38
450,110.701,450,38
451,5.248,451,38
452,107.64,452,38
453,90.714,453,38
454,54.09,454,37
455,54.805,455,37
456,11.28,456,37
457,12.74,457,37
458,58.668,458,38
459,10.63,459,38
460,3.984,460,38
461,84.597,461,38
462,69.162,462,38
463,22.49,463,37
464,52.726,464,39
465,31.847,465,39
466,26.587,466,39
467,23.503,467,39
468,21.901,468,39
469,83.813,469,39
470,118.657,470,39
471,93.254,471,39
472,127.274,472,39
473,149.888,473,39
474,55.79,474,39
475,49.93,475,39
476,161.714,476,39
477,118.199,477,39
478,73.265,478,39
479,61.62,479,41
480,34.287,480,41
481,45.038,481,41
482,17.457,482,41
483,27.872,483,41
484,27.184,484,41
485,31.437,485,41
486,21.913,486,41
487,10.615,487,41
488,45.925,488,41
489,15.518,489,41
490,15.759,490,41
491,32.678,491,41
492,21.924,492,41
493,47.462,493,41
494,6.643,494,41
495,19.689,495,40
496,41.562,496,40
497,16.887,497,40
498,9.178,498,40
499,18.943,499,40
500,31.954,500,40
501,91.212,501,40
502,40.349,502,40
503,27.872,503,40
504,42.823,504,40
505,63.676,505,40
521,0.523,521,9
522,0.407,522,10
523,0.073,523,4
524,0.095,524,4
525,0.165,525,10
526,0.263,526,10
527,0.343,527,10
528,0.219,528,10
529,0.135,529,10
530,0.119,530,10
531,0.096,531,10
532,0.213,532,10
533,0.231,533,10
534,0.178,534,10
535,0.173,535,18
536,0.209,536,18
537,0.12,537,18
538,0.157,538,18
539,0.142,539,18
540,0.133,540,18
541,0.145,541,18
542,0.241,542,18
543,0.213,543,18
544,0.178,544,18
545,0.18,545,18
546,0.402,546,18
547,0.212,547,18
548,0.197,548,18
549,0.255,549,18
550,0.014,550,18
551,0.043,551,4
552,0.153,552,4
553,0.244,553,18
554,0.219,554,4
555,0.231,555,18
556,0.607,556,17
557,0.729,557,17
558,0.16,558,17
559,0.448,559,17
560,0.154,560,17
561,0.317,561,17
562,0.195,562,17
563,0.125,563,5
564,0.147,564,6
565,0.214,565,5
566,0.115,566,6
567,0.093,567,6
568,0.116,568,5
569,0.236,569,6
570,0.132,570,5
571,0.105,571,6
572,0.172,572,5
573,0.162,573,6
