year,age,men,women
2016,62,5858,6864
2016,63,6033,6988
2016,64,5873,7756
2016,65,5951,6964
2016,66,6666,6619
2016,67,5879,7785
2016,68,6985,8631
2016,69,7164,7722
2016,70,8202,8626
2016,71,8800,9436
2016,72,7390,9227
2016,73,4161,4821
2016,74,4164,4993
2016,75,4648,6142
2016,76,4854,5533
2016,77,4429,5833
2016,78,4876,5585
2016,79,3267,5262
2016,80,2981,4604
2016,81,3326,4299
2016,82,3363,5314
2016,83,3025,5239
2016,84,2601,4397
2016,85,1976,3728
2016,86,2451,4041
2016,87,1876,3529
2016,88,1583,3040
2016,89,1401,2849
2016,90,1007,2334
2016,91,938,2044
2016,92,560,1448
2016,93,528,1312
2016,94,323,1042
2016,95,276,732
2016,96,145,608
2016,97,111,398
2016,98,60,324
2016,99,48,250
2016,100,47,310
2017,0,2369,2287
2017,1,2455,2342
2017,2,2515,2354
2017,3,2447,2438
2017,4,2662,2467
2017,5,2682,2489
2017,6,2722,2501
2017,7,2721,2598
2017,8,4354,4097
2017,9,3596,3897
2017,10,3145,2521
2017,11,1830,1813
2017,12,1933,1598
2017,13,1596,1876
2017,14,1984,1991
2017,15,2521,2423
2017,16,1980,2475
2017,17,2544,2627
2017,18,4419,4490
2017,19,4378,4499
2017,20,4631,5312
2017,21,4986,5247
2017,22,5580,5708
2017,23,5152,5426
2017,24,4926,4878
2017,25,5393,5293
2017,26,4275,4400
2017,27,3011,2969
2017,28,3352,4553
2017,29,3713,4149
2017,30,3663,4016
2017,31,4129,4015
2017,32,4915,5003
2017,33,4537,5304
2017,34,5647,4581
2017,35,4763,4507
2017,36,4606,5588
2017,37,4359,5852
2017,38,5228,6311
2017,39,5208,5202
2017,40,6122,5963
2017,41,6163,6960
2017,42,6033,7413
2017,43,5915,7489
2017,44,7696,7221
2017,45,7308,6656
2017,46,7229,7714
2017,47,6981,8510
2017,48,6202,6550
2017,49,5578,6319
2017,50,5787,6767
2017,51,5554,6950
2017,52,5547,6240
2017,53,5778,6405
2017,54,4215,4527
2017,55,5905,6946
2017,56,5410,6849
2017,57,4963,5771
2017,58,5464,5416
2017,59,5427,5940
2017,60,5241,6219
2017,61,5785,7391
2017,62,5699,6885
2017,63,5820,6849
2017,64,5992,6971
2017,65,5838,7738
2017,66,5886,6945
2017,67,6587,6608
2017,68,5789,7738
2017,69,6885,8583
2017,70,7026,7664
2017,71,8029,8565
2017,72,8606,9358
2017,73,7203,9113
2017,74,4056,4759
2017,75,4050,4940
2017,76,4524,6050
2017,77,4675,5441
2017,78,4258,5705
2017,79,4649,5417
2017,80,3090,5098
2017,81,2800,4446
2017,82,3100,4101
2017,83,3076,5022
2017,84,2765,4905
2017,85,2362,4065
2017,86,1763,3426
2017,87,2146,3653
2017,88,1627,3116
2017,89,1331,2686
2017,90,1164,2435
2017,91,823,1969
2017,92,732,1665
2017,93,425,1133
2017,94,379,1018
2017,95,224,800
2017,96,205,548
2017,97,98,455
2017,98,72,269
2017,99,34,219
2017,100,61,362
2018,0,2207,2245
2018,1,2388,2296
2018,2,2467,2360
2018,3,2524,2367
2018,4,2457,2448
2018,5,2676,2476
2018,6,2695,2499
2018,7,2733,2511
2018,8,2735,2620
2018,9,4377,4121
2018,10,3610,3906
2018,11,3149,2525
2018,12,1838,1816
2018,13,1939,1604
2018,14,1599,1883
2018,15,2002,1999
2018,16,2526,2433
2018,17,1996,2491
2018,18,2566,2653
2018,19,4434,4511
2018,20,4400,4520
2018,21,4663,5335
2018,22,5013,5275
2018,23,5600,5730
2018,24,5172,5445
2018,25,4954,4908
2018,26,5408,5308
2018,27,4287,4411
2018,28,3025,2994
2018,29,3368,4570
2018,30,3731,4168
2018,31,3677,4045
2018,32,4162,4042
2018,33,4931,5027
2018,34,4552,5320
2018,35,5669,4608
2018,36,4786,4529
2018,37,4629,5605
2018,38,4383,5883
